Price,Year,Mileage,City,State,Vin,Make,Model
13995,2014,38979,Hopkins, MN,2HGFB2F86EH549610,Honda,Civic
8181,2012,71243,Houston, TX,19XFB2F57CE305297,Honda,Civic
15000,2014,24923,Denver, CO,2HGFB2F50EH507858,Honda,Civic
7995,2012,42496,El Paso, TX,2HGFG3B54CH510983,Honda,Civic
14495,2014,24253,Glen Head, NY,19XFB2F51EE230504,Honda,Civic
13288,2014,36081,Franklin, TN,2HGFB2F55EH536188,Honda,Civic
15200,2014,9104,Long Island City, NY,19XFB2F56EE210605,Honda,Civic
15294,2015,23934,McMurray, PA,19XFB2F58FE218254,Honda,Civic
14498,2015,35998,Westbrook, CT,19XFB2F54FE292514,Honda,Civic
14998,2016,28882,Clermont, FL,19XFC2F55GE010590,Honda,Civic
14977,2015,30238,Baltimore, MD,2HGFB2F55FH558774,Honda,Civic
7777,2011,71121,Jamaica, NY,2HGFA1F58BH512833,Honda,Civic
13523,2014,29364,Ellicott City, MD,19XFB2F57EE225033,Honda,Civic
12500,2014,41686,Waipahu, HI,19XFB2F50EE028432,Honda,Civic
12990,2016,52998,Miami, FL,19XFC2F59GE081033,Honda,Civic
14990,2015,33548,Denville, NJ,19XFB2F53FE215195,Honda,Civic
15000,2014,11606,Long Island City, NY,19XFB2F5XEE225804,Honda,Civic
13499,2014,29691,Raleigh, NC,19XFB2F51EE239820,Honda,Civic
12500,2014,41724,Louisville, KY,2HGFB2F51EH538729,Honda,Civic
17900,2017,3342,El Cerrito, CA,19XFC2F50HE209984,Honda,Civic
14477,2014,29547,Philadelphia, PA,19XFB2F5XEE224457,Honda,Civic
16977,2016,11702,Salem, OR,2HGFC2F52GH513595,Honda,Civic
12990,2014,35838,Rockville, MD,19XFB2F5XEE211823,Honda,Civic
12992,2014,35118,Miami, FL,19XFB2F50EE062581,Honda,Civic
14750,2014,32071,Citrus Heights, CA,2HGFB2F85EH548383,Honda,Civic
16000,2015,24978,Austin, TX,2HGFB2F80FH510948,Honda,Civic
12993,2014,35861,Bedford, OH,2HGFB2F82EH542427,Honda,Civic
12990,2014,35898,Wakefield, MA,2HGFB2F86EH533892,Honda,Civic
13599,2014,41821,Denville, NJ,19XFB2F50EE225391,Honda,Civic
12991,2014,35924,Pontiac, MI,19XFB2F58EE021387,Honda,Civic
16500,2015,10066,Napa, CA,19XFB2F72FE707413,Honda,Civic
13900,2015,43678,Alexandria, VA,19XFB2F72FE054064,Honda,Civic
16210,2016,24195,Raynham, MA,2HGFC2F56GH511476,Honda,Civic
13000,2013,38219,Tampa, FL,19XFB2F56DE061661,Honda,Civic
16888,2016,16996,Phoenix, AZ,19XFC2F50GE014885,Honda,Civic
13495,2014,35457,Bloomfield Hills, MI,2HGFB2F52EH558102,Honda,Civic
16000,2016,27045,Alexandria, VA,19XFC2F51GE017830,Honda,Civic
13995,2014,29440,Bloomfield Hills, MI,2HGFB2F5XEH548479,Honda,Civic
12999,2014,47954,Centennial, CO,19XFB2F52EE012474,Honda,Civic
13750,2014,44270,Citrus Heights, CA,19XFB2F53EE249667,Honda,Civic
12500,2013,49374,Pasadena, CA,19XFB2F5XDE243881,Honda,Civic
16000,2015,25348,Hazelwood, MO,19XFB2F87FE027581,Honda,Civic
14991,2014,24099,Napa, CA,19XFB2F53EE052417,Honda,Civic
16750,2014,19315,Virginia Beach, VA,2HGFB2F90EH554410,Honda,Civic
14990,2015,27819,Greenacres, Fl,19XFB2F7XFE092898,Honda,Civic
13900,2014,34454,Houston, TX,19XFB2F53EE267053,Honda,Civic
16997,2016,20274,Ventura, CA,2HGFC2F56GH521442,Honda,Civic
13700,2014,37329,Countryside, IL,2HGFB2F51EH539508,Honda,Civic
17500,2016,13816,Freehold, NJ,2HGFC2F77GH521757,Honda,Civic
12290,2013,35923,Rockville, MD,19XFB2F58DE204402,Honda,Civic
14926,2014,25191,Longview, TX,19XFB2F55EE041337,Honda,Civic
14780,2014,30743,Indian Trail, NC,2HGFB2F81EH542564,Honda,Civic
13999,2015,33458,Hudson, MA,2HGFB2F56FH504299,Honda,Civic
10203,2011,44534,West Babylon, NY,2HGFA1F83BH546513,Honda,Civic
12995,2015,44688,Springfield, VA,2HGFB2F58FH500173,Honda,Civic
10995,2013,61399,Lexington, KY,19XFB2F58DE064884,Honda,Civic
13410,2014,31106,Frankfort, IN,19XFB2F58EE008462,Honda,Civic
15161,2015,33593,Loma Linda, CA,19XFB2F80FE230859,Honda,Civic
12690,2014,39781,Sterling, VA,19XFB2F56EE236198,Honda,Civic
15634,2014,14860,Oakland, CA,19XFB2F54EE213812,Honda,Civic
11995,2014,48160,Elmhurst, NY,19XFB2F86EE031006,Honda,Civic
17991,2016,4284,Durham, NC,19XFC2F51GE047314,Honda,Civic
12488,2014,53177,Norwalk, CA,2HGFB2F55EH519830,Honda,Civic
13986,2016,41413,Windsor Locks, CT,19XFC2F5XGE209831,Honda,Civic
14197,2014,21671,Raleigh, NC,2HGFB2F50EH514700,Honda,Civic
13785,2013,30043,Columbia, MO,19XFB2F56DE025534,Honda,Civic
14895,2015,17922,Avondale, AZ,19XFB2F73FE707534,Honda,Civic
13730,2014,27313,Buford, GA,19XFB2F85EE086031,Honda,Civic
15700,2015,26287,Rock Hill, SC,2HGFB2F52FH536246,Honda,Civic
15477,2014,18018,Roswell, GA,19XFB2F57EE034423,Honda,Civic
15645,2015,28294,Hopkins, MN,19XFB2F83FE010549,Honda,Civic
12571,2014,50511,Union, NJ,19XFB2F8XEE275306,Honda,Civic
